"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Jacobus Henricus van 't Hoff","in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions","van 't Hoff","Jacobus Henricus","1","1852-08-30","1901","48","Rotterdam","1911-03-01","false","chemistry","the Netherlands","male","NL","Berlin","Berlin University","Germany"
"Sully Prudhomme","in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect","Prudhomme","Sully","1","1839-03-16","1901","61","Paris","1907-09-07","false","literature","France","male","FR","","none",""
"Emil Adolf von Behring","for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths","von Behring","Emil Adolf","1","1854-03-15","1901","46","Hansdorf (now Jankowa &#379;aga&#324;ska)","1917-03-31","false","medicine","Prussia (now Poland)","male","PL","Marburg","Marburg University","Germany"
"Frédéric Passy","","Passy","Frédéric","2","1822-05-20","1901","78","Paris","1912-06-12","false","peace","France","male","FR","","none",""
"Jean Henry Dunant","","Dunant","Jean Henry","2","1828-05-08","1901","72","Geneva","1910-10-30","false","peace","Switzerland","male","CH","","none",""
"Wilhelm Conrad Röntgen","in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him","Röntgen","Wilhelm Conrad","1","1845-03-27","1901","55","Lennep (now Remscheid)","1923-02-10","false","physics","Prussia (now Germany)","male","DE","Munich","Munich University","Germany"
"Hermann Emil Fischer","in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses","Fischer","Hermann Emil","1","1852-10-09","1902","49","Euskirchen","1919-07-15","false","chemistry","Prussia (now Germany)","male","DE","Berlin","Berlin University","Germany"
"Christian Matthias Theodor Mommsen","the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>","Mommsen","Christian Matthias Theodor","1","1817-11-30","1902","84","Garding","1903-11-01","false","literature","Schleswig (now Germany)","male","DE","","none",""
"Ronald Ross","for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it","Ross","Ronald","1","1857-05-13","1902","44","Almora","1932-09-16","false","medicine","India","male","IN","Liverpool","University College","United Kingdom"
"Élie Ducommun","","Ducommun","Élie","2","1833-02-19","1902","68","Geneva","1906-12-07","false","peace","Switzerland","male","CH","","none",""
"Charles Albert Gobat","","Gobat","Charles Albert","2","1843-05-21","1902","58","Tramelan","1914-03-16","false","peace","Switzerland","male","CH","","none",""
"Pieter Zeeman","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena","Zeeman","Pieter","2","1865-05-25","1902","36","Zonnemaire","1943-10-09","false","physics","the Netherlands","male","NL","Amsterdam","Amsterdam University","the Netherlands"
"Hendrik Antoon Lorentz","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena","Lorentz","Hendrik Antoon","2","1853-07-18","1902","48","Arnhem","1928-02-04","false","physics","the Netherlands","male","NL","Leiden","Leiden University","the Netherlands"
"Svante August Arrhenius","in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation","Arrhenius","Svante August","1","1859-02-19","1903","43","Vik","1927-10-02","false","chemistry","Sweden","male","SE","Stockholm","Stockholm University","Sweden"
"Bjørnstjerne Martinus Bjørnson","as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit","Bjørnson","Bjørnstjerne Martinus","1","1832-12-08","1903","70","Kvikne","1910-04-26","false","literature","Norway","male","NO","","none",""
